Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C208,0.1uF,C_0402_1005Metric,309.13,-137.95,0.0,top
C209,0.1uF,C_0402_1005Metric,317.13,-137.95,0.0,top
C21,0.1uF,C_0402_1005Metric,301.13,-89.95,0.0,top
C210,0.1uF,C_0402_1005Metric,325.13,-137.95,0.0,top
C211,0.1uF,C_0402_1005Metric,333.13,-137.95,0.0,top
C212,0.1uF,C_0402_1005Metric,341.13,-137.95,0.0,top
C213,0.1uF,C_0402_1005Metric,349.13,-137.95,0.0,top
C214,0.1uF,C_0402_1005Metric,357.13,-137.95,0.0,top
C215,0.1uF,C_0402_1005Metric,365.13,-137.95,0.0,top
C216,0.1uF,C_0402_1005Metric,373.13,-137.95,0.0,top
C217,0.1uF,C_0402_1005Metric,381.13,-137.95,0.0,top
C218,0.1uF,C_0402_1005Metric,387.15,-137.575,0.0,top
C219,0.1uF,C_0402_1005Metric,149.13,-145.95,0.0,top
C22,0.1uF,C_0402_1005Metric,309.13,-89.95,0.0,top
C220,0.1uF,C_0402_1005Metric,157.13,-145.95,0.0,top
C221,0.1uF,C_0402_1005Metric,165.13,-145.95,0.0,top
C222,0.1uF,C_0402_1005Metric,173.13,-145.95,0.0,top
C223,0.1uF,C_0402_1005Metric,181.13,-145.95,0.0,top
C224,0.1uF,C_0402_1005Metric,189.13,-145.95,0.0,top
C225,0.1uF,C_0402_1005Metric,197.13,-145.95,0.0,top
C226,0.1uF,C_0402_1005Metric,205.13,-145.95,0.0,top
C227,0.1uF,C_0402_1005Metric,213.13,-145.95,0.0,top
C228,0.1uF,C_0402_1005Metric,221.13,-145.95,0.0,top
C229,0.1uF,C_0402_1005Metric,229.13,-145.95,0.0,top
C23,0.1uF,C_0402_1005Metric,317.13,-89.95,0.0,top
C230,0.1uF,C_0402_1005Metric,237.13,-145.95,0.0,top
C231,0.1uF,C_0402_1005Metric,245.13,-145.95,0.0,top
